الٓمٓ                 ['l', 'm']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
ءَامَنُوٓاۡ              ['ʔ', 'a:', 'm', 'a', 'n', 'u:']
إِن                  ['ʔ', 'i', 'Ikh1']
تُطِيعُواۡ              ['t', 'u', 'tˤ', 'i:', 'ʕ', 'u:']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
كَفَرُواۡ               ['k', 'a', 'f', 'a', 'r', 'u:']
يَرُدُّوكُمۡ              ['j', 'a', 'r', 'u', 'd', 'd', 'u:', 'k', 'u', 'm']
عَلَىٰٓ                 ['ʕ', 'a', 'l', 'a:']
أَعۡقَـٰبِكُمۡ             ['ʔ', 'a', 'ʕ', 'q', 'a:', 'b', 'i', 'k', 'u', 'm']
فَتَنقَلِبُواۡ            ['f', 'a', 't', 'a', 'Ikh2', 'q', 'a', 'l', 'i', 'b', 'u:']
خَـٰسِرِينَ              ['x', 'a:', 's', 'i', 'r', 'i:', 'n']

150
بَلِ                  ['b', 'a', 'l', 'i']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
مَوۡلَـٰكُمۡ‌ۖ             ['m', 'a', 'w', 'l', 'a:', 'k', 'u', 'm']
وَهُوَ                 ['w', 'a', 'h', 'u', 'w', 'a']
خَيۡرُ                 ['x', 'a', 'j', 'r', 'u']
ٱلنَّـٰصِرِينَ            ['n̰', 'a:', 'sˤ', 'i', 'r', 'i:', 'n']

151
سَنُلۡقِى               ['s', 'a', 'n', 'u', 'l', 'q', 'i:']
فِى                  ['f', 'i:']
قُلُوبِ                ['q', 'u', 'l', 'u:', 'b', 'i']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
كَفَرُواۡ               ['k', 'a', 'f', 'a', 'r', 'u:']
ٱلرُّعۡبَ               ['r', 'r', 'u', 'ʕ', 'b', 'a']
بِمَآ                 ['b', 'i', 'm', 'a:']
أَشۡرَكُواۡ              ['ʔ', 'a', 'ʃ', 'r', 'a', 'k', 'u:']
بِٱللَّهِ               ['b', 'i', 'l', 'l', 'l', 'a', 'h', 'i']
مَا                  ['m', 'a:']
لَمۡ                  ['l', 'a', 'm']
يُنَزِّلۡ                ['j', 'u', 'n', 'a', 'z', 'z', 'i', 'l']
بِهِۦ                 ['b', 'i', 'h', 'i:']
سُلۡطَـٰنًا‌ۖ             ['s', 'u', 'l', 'tˤ', 'a:', 'n', 'a']
وَمَأۡوَٮٰهُمُ             ['w̰', 'a', 'm', 'a', 'ʔ', 'w', 'a:', 'h', 'u', 'm', 'u']
ٱلنَّارُ‌ۚ              ['n̰', 'a:', 'r', 'u']
وَبِئۡسَ                ['w', 'a', 'b', 'i', 'ʔ', 's', 'a']
مَثۡوَى                ['m', 'a', 'θ', 'w', 'a:']
ٱلظَّـٰلِمِينَ            ['ðˤ', 'ðˤ', 'a:', 'l', 'i', 'm', 'i:', 'n']

152
وَلَقَدۡ                ['w', 'a', 'l', 'a', 'q', 'a', 'd', 'QQ']
صَدَقَكُمُ               ['sˤ', 'a', 'd', 'a', 'q', 'a', 'k', 'u', 'm', 'u']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
وَعۡدَهُۥٓ               ['w', 'a', 'ʕ', 'd', 'a', 'h', 'u:']
إِذۡ                  ['ʔ', 'i', 'ð']
تَحُسُّونَهُم             ['t', 'a', 'ħ', 'u', 's', 's', 'u:', 'n', 'a', 'h', 'u', 'Ikh']
بِإِذۡنِهِۦ‌ۖ             ['b', 'i', 'ʔ', 'i', 'ð', 'n', 'i', 'h', 'i:']
حَتَّىٰٓ                 ['ħ', 'a', 't', 't', 'a:']
إِذَا                 ['ʔ', 'i', 'ð', 'a:']
فَشِلۡتُمۡ               ['f', 'a', 'ʃ', 'i', 'l', 't', 'u', 'm']
وَتَنَـٰزَعۡتُمۡ            ['w', 'a', 't', 'a', 'n', 'a:', 'z', 'a', 'ʕ', 't', 'u', 'm']
فِى                  ['f', 'i:']
ٱلۡأَمۡرِ               ['l', 'ʔ', 'a', 'm', 'r', 'i']
وَعَصَيۡتُم              ['w', 'a', 'ʕ', 'a', 'sˤ', 'a', 'j', 't', 'u', 'm̰']
مِّنۢ                  ['i', 'm̰']
بَعۡدِ                 ['b', 'a', 'ʕ', 'd', 'i']
مَآ                  ['m', 'a:']
أَرَٮٰكُم               ['ʔ', 'a', 'r', 'a:', 'k', 'u', 'm̰']
مَّا                  ['a:']
تُحِبُّونَ‌ۚ              ['t', 'u', 'ħ', 'i', 'b', 'b', 'u:', 'n', 'a']
مِنكُم                ['m', 'i', 'Ikh1', 'k', 'u', 'm̰']
مَّن                  ['a']
يُرِيدُ                ['j̰', 'u', 'r', 'i:', 'd', 'u']
ٱلدُّنۡيَا              ['d', 'd', 'u', 'n', 'j', 'a:']
وَمِنكُم               ['w', 'a', 'm', 'i', 'Ikh1', 'k', 'u', 'm̰']
مَّن                  ['a']
يُرِيدُ                ['j̰', 'u', 'r', 'i:', 'd', 'u']
ٱلۡأَخِرَةَ‌ۚ             ['l', 'ʔ', 'a', 'x', 'i', 'r', 'a', 't', 'a']
ثُمَّ                  ['θ', 'u', 'm̰', 'a']
صَرَفَكُمۡ               ['sˤ', 'a', 'r', 'a', 'f', 'a', 'k', 'u', 'm']
عَنۡهُمۡ                ['ʕ', 'a', 'n', 'h', 'u', 'm']
لِيَبۡتَلِيَكُمۡ‌ۖ           ['l', 'i', 'j', 'a', 'b', 'Q', 't', 'a', 'l', 'i', 'j', 'a', 'k', 'u', 'm']
وَلَقَدۡ                ['w', 'a', 'l', 'a', 'q', 'a', 'd', 'QQ']
عَفَا                 ['ʕ', 'a', 'f', 'a:']
عَنكُمۡ‌ۗ               ['ʕ', 'a', 'Ikh1', 'k', 'u', 'm']
وَٱللَّهُ               ['w', 'a', 'l', 'l', 'l', 'a', 'h', 'u']
ذُو                  ['ð', 'u:']
فَضۡلٍ                 ['f', 'a', 'dˤ', 'l', 'in']
عَلَى                 ['ʕ', 'a', 'l', 'a:']
ٱلۡمُؤۡمِنِينَ            ['l', 'm', 'u', 'ʔ', 'm', 'i', 'n', 'i:', 'n']

153
۞إِذۡ                 ['ʔ', 'i', 'ð']
تُصۡعِدُونَ              ['t', 'u', 'sˤ', 'ʕ', 'i', 'd', 'u:', 'n', 'a']
وَلَا                 ['w', 'a', 'l', 'a:']
تَلۡوُۥنَ               ['t', 'a', 'l', 'w', 'u:', 'n', 'a']
عَلَىٰٓ                 ['ʕ', 'a', 'l', 'a:']
أَحَدٍ                 ['ʔ', 'a', 'ħ', 'a', 'd', 'i']
وَٱلرَّسُولُ             ['w̰', 'a', 'r', 'r', 'a', 's', 'u:', 'l', 'u']
يَدۡعُوكُمۡ              ['j', 'a', 'd', 'Q', 'ʕ', 'u:', 'k', 'u', 'm']
فِىٓ                  ['f', 'i:']
أُخۡرَٮٰكُمۡ              ['ʔ', 'u', 'x', 'r', 'a:', 'k', 'u', 'm']
فَأَثَـٰبَكُمۡ             ['f', 'a', 'ʔ', 'a', 'θ', 'a:', 'b', 'a', 'k', 'u', 'm']
غَمَّۢا                 ['ɣ', 'a', 'm̰', 'a:', 'm̰']
بِغَمٍّ                 ['b', 'i', 'ɣ', 'a', 'm', 'm', 'i']
لِّكَيۡلَا               ['l', 'l', 'i', 'k', 'a', 'j', 'l', 'a:']
تَحۡزَنُواۡ              ['t', 'a', 'ħ', 'z', 'a', 'n', 'u:']
عَلَىٰ                 ['ʕ', 'a', 'l', 'a:']
مَا                  ['m', 'a:']
فَاتَكُمۡ               ['f', 'a:', 't', 'a', 'k', 'u', 'm']
وَلَا                 ['w', 'a', 'l', 'a:']
مَآ                  ['m', 'a:']
أَصَـٰبَكُمۡ‌ۗ             ['ʔ', 'a', 'sˤ', 'a:', 'b', 'a', 'k', 'u', 'm']
وَٱللَّهُ               ['w', 'a', 'l', 'l', 'l', 'a', 'h', 'u']
خَبِيرُۢ                ['x', 'a', 'b', 'i:', 'r', 'u', 'm̰']
بِمَا                 ['b', 'i', 'm', 'a:']
تَعۡمَلُونَ              ['t', 'a', 'ʕ', 'm', 'a', 'l', 'u:', 'n']

154
ثُمَّ                  ['θ', 'u', 'm̰', 'a']
أَنزَلَ                ['ʔ', 'a', 'Ikh1', 'z', 'a', 'l', 'a']
عَلَيۡكُم               ['ʕ', 'a', 'l', 'a', 'j', 'k', 'u', 'm̰']
مِّنۢ                  ['i', 'm̰']
بَعۡدِ                 ['b', 'a', 'ʕ', 'd', 'i']
ٱلۡغَمِّ                ['l', 'ɣ', 'a', 'm̰', 'i']
أَمَنَةً                ['ʔ', 'a', 'm', 'a', 'n', 'a', 't', 'a']
نُّعَاسًا               ['n̰', 'u', 'ʕ', 'a:', 's', 'a']
يَغۡشَىٰ                ['j̰', 'a', 'ɣ', 'ʃ', 'a:']
طَآئِفَةً               ['tˤ', 'a:', 'ʔ', 'i', 'f', 'a', 't', 'a']
مِّنكُمۡ‌ۖ               ['m̰', 'i', 'Ikh1', 'k', 'u', 'm']
وَطَآئِفَةٌ              ['w', 'a', 'tˤ', 'a:', 'ʔ', 'i', 'f', 'a', 't', 'u', 'Ikh2']
قَدۡ                  ['q', 'a', 'd', 'QQ']
أَهَمَّتۡهُمۡ              ['ʔ', 'a', 'h', 'a', 'm̰', 'a', 't', 'h', 'u', 'm']
أَنفُسُهُمۡ              ['ʔ', 'a', 'Ikh1', 'f', 'u', 's', 'u', 'h', 'u', 'm']
يَظُنُّونَ               ['j', 'a', 'ðˤ', 'u', 'n̰', 'u:', 'n', 'a']
بِٱللَّهِ               ['b', 'i', 'l', 'l', 'l', 'a', 'h', 'i']
غَيۡرَ                 ['ɣ', 'a', 'j', 'r', 'a']
ٱلۡحَقِّ                ['l', 'ħ', 'a', 'q', 'q', 'i']
ظَنَّ                  ['ðˤ', 'a', 'n̰', 'a']
ٱلۡجَـٰهِلِيَّةِ‌ۖ           ['l', 'ʒ', 'a:', 'h', 'i', 'l', 'i', 'j', 'j', 'a', 't', 'i']
يَقُولُونَ              ['j', 'a', 'q', 'u:', 'l', 'u:', 'n', 'a']
هَل                  ['h', 'a', 'l']
لَّنَا                 ['l', 'l', 'a', 'n', 'a:']
مِنَ                  ['m', 'i', 'n', 'a']
ٱلۡأَمۡرِ               ['l', 'ʔ', 'a', 'm', 'r', 'i']
مِن                  ['m', 'i', 'Ikh1']
شَىۡءٍ‌ۗ                ['ʃ', 'a', 'j', 'ʔ', 'i', 'Ikh2']
قُلۡ                  ['q', 'u', 'l']
إِنَّ                  ['ʔ', 'i', 'n̰', 'a']
ٱلۡأَمۡرَ               ['l', 'ʔ', 'a', 'm', 'r', 'a']
كُلَّهُۥ                ['k', 'u', 'l', 'l', 'a', 'h', 'u:']
لِلَّهِ‌ۗ                ['l', 'i', 'l', 'l', 'a', 'h', 'i']
يُخۡفُونَ               ['j', 'u', 'x', 'f', 'u:', 'n', 'a']
فِىٓ                  ['f', 'i:']
أَنفُسِهِم              ['ʔ', 'a', 'Ikh1', 'f', 'u', 's', 'i', 'h', 'i', 'm̰']
مَّا                  ['a:']
لَا                  ['l', 'a:']
يُبۡدُونَ               ['j', 'u', 'b', 'Q', 'd', 'u:', 'n', 'a']
لَكَ‌ۖ                 ['l', 'a', 'k', 'a']
يَقُولُونَ              ['j', 'a', 'q', 'u:', 'l', 'u:', 'n', 'a']
لَوۡ                  ['l', 'a', 'w']
كَانَ                 ['k', 'a:', 'n', 'a']
لَنَا                 ['l', 'a', 'n', 'a:']
مِنَ                  ['m', 'i', 'n', 'a']
ٱلۡأَمۡرِ               ['l', 'ʔ', 'a', 'm', 'r', 'i']
شَىۡءٌ                 ['ʃ', 'a', 'j', 'ʔ', 'u']
مَّا                  ['m̰', 'a:']
قُتِلۡنَا               ['q', 'u', 't', 'i', 'l', 'n', 'a:']
هَـٰهُنَا‌ۗ              ['h', 'a:', 'h', 'u', 'n', 'a:']
قُل                  ['q', 'u', 'l']
لَّوۡ                  ['l', 'l', 'a', 'w']
كُنتُمۡ                ['k', 'u', 'Ikh1', 't', 'u', 'm']
فِى                  ['f', 'i:']
بُيُوتِكُمۡ              ['b', 'u', 'j', 'u:', 't', 'i', 'k', 'u', 'm']
لَبَرَزَ                ['l', 'a', 'b', 'a', 'r', 'a', 'z', 'a']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
كُتِبَ                 ['k', 'u', 't', 'i', 'b', 'a']
عَلَيۡهِمُ               ['ʕ', 'a', 'l', 'a', 'j', 'h', 'i', 'm', 'u']
ٱلۡقَتۡلُ               ['l', 'q', 'a', 't', 'l', 'u']
إِلَىٰ                 ['ʔ', 'i', 'l', 'a:']
مَضَاجِعِهِمۡ‌ۖ            ['m', 'a', 'dˤ', 'a:', 'ʒ', 'i', 'ʕ', 'i', 'h', 'i', 'm']
وَلِيَبۡتَلِىَ             ['w', 'a', 'l', 'i', 'j', 'a', 'b', 'Q', 't', 'a', 'l', 'i', 'j', 'a']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
مَا                  ['m', 'a:']
فِى                  ['f', 'i:']
صُدُورِكُمۡ              ['sˤ', 'u', 'd', 'u:', 'r', 'i', 'k', 'u', 'm']
وَلِيُمَحِّصَ              ['w', 'a', 'l', 'i', 'j', 'u', 'm', 'a', 'ħ', 'ħ', 'i', 'sˤ', 'a']
مَا                  ['m', 'a:']
فِى                  ['f', 'i:']
قُلُوبِكُمۡ‌ۗ             ['q', 'u', 'l', 'u:', 'b', 'i', 'k', 'u', 'm']
وَٱللَّهُ               ['w', 'a', 'l', 'l', 'l', 'a', 'h', 'u']
عَلِيمُۢ                ['ʕ', 'a', 'l', 'i:', 'm', 'u', 'm̰']
بِذَاتِ                ['b', 'i', 'ð', 'a:', 't', 'i']
ٱلصُّدُورِ              ['sˤ', 'sˤ', 'u', 'd', 'u:', 'r']

155
إِنَّ                  ['ʔ', 'i', 'n̰', 'a']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
تَوَلَّوۡاۡ               ['t', 'a', 'w', 'a', 'l', 'l', 'a', 'w']
مِنكُمۡ                ['m', 'i', 'Ikh1', 'k', 'u', 'm']
يَوۡمَ                 ['j', 'a', 'w', 'm', 'a']
ٱلۡتَقَى               ['t', 'a', 'q', 'a:']
ٱلۡجَمۡعَانِ             ['l', 'ʒ', 'a', 'm', 'ʕ', 'a:', 'n', 'i']
إِنَّمَا                ['ʔ', 'i', 'n̰', 'a', 'm', 'a:']
ٱسۡتَزَلَّهُمُ             ['s', 't', 'a', 'z', 'a', 'l', 'l', 'a', 'h', 'u', 'm', 'u']
ٱلشَّيۡطَـٰنُ             ['ʃ', 'ʃ', 'a', 'j', 'tˤ', 'a:', 'n', 'u']
بِبَعۡضِ                ['b', 'i', 'b', 'a', 'ʕ', 'dˤ', 'i']
مَا                  ['m', 'a:']
كَسَبُواۡ‌ۖ              ['k', 'a', 's', 'a', 'b', 'u:']
وَلَقَدۡ                ['w', 'a', 'l', 'a', 'q', 'a', 'd', 'QQ']
عَفَا                 ['ʕ', 'a', 'f', 'a:']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
عَنۡهُمۡ‌ۗ               ['ʕ', 'a', 'n', 'h', 'u', 'm']
إِنَّ                  ['ʔ', 'i', 'n̰', 'a']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
غَفُورٌ                ['ɣ', 'a', 'f', 'u:', 'r', 'un']
حَلِيمٌ                ['ħ', 'a', 'l', 'i:', 'm']

156
يَـٰٓأَيُّهَا              ['j', 'a:', 'ʔ', 'a', 'j', 'j', 'u', 'h', 'a:']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
ءَامَنُواۡ              ['ʔ', 'a:', 'm', 'a', 'n', 'u:']
لَا                  ['l', 'a:']
تَكُونُواۡ              ['t', 'a', 'k', 'u:', 'n', 'u:']
كَٱلَّذِينَ              ['k', 'a', 'l', 'l', 'a', 'ð', 'i:', 'n', 'a']
كَفَرُواۡ               ['k', 'a', 'f', 'a', 'r', 'u:']
وَقَالُواۡ              ['w', 'a', 'q', 'a:', 'l', 'u:']
لِإِخۡوٰنِهِمۡ             ['l', 'i', 'ʔ', 'i', 'x', 'w', 'a:', 'n', 'i', 'h', 'i', 'm']
إِذَا                 ['ʔ', 'i', 'ð', 'a:']
ضَرَبُواۡ               ['dˤ', 'a', 'r', 'a', 'b', 'u:']
فِى                  ['f', 'i:']
ٱلۡأَرۡضِ               ['l', 'ʔ', 'a', 'r', 'dˤ', 'i']
أَوۡ                  ['ʔ', 'a', 'w']
كَانُواۡ               ['k', 'a:', 'n', 'u:']
غُزًّى                 ['ɣ', 'u', 'z', 'z', 'a']
لَّوۡ                  ['l', 'l', 'a', 'w']
كَانُواۡ               ['k', 'a:', 'n', 'u:']
عِندَنَا               ['ʕ', 'i', 'Ikh1', 'd', 'a', 'n', 'a:']
مَا                  ['m', 'a:']
مَاتُواۡ               ['m', 'a:', 't', 'u:']
وَمَا                 ['w', 'a', 'm', 'a:']
قُتِلُواۡ               ['q', 'u', 't', 'i', 'l', 'u:']
لِيَجۡعَلَ               ['l', 'i', 'j', 'a', 'ʒ', 'Q', 'ʕ', 'a', 'l', 'a']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
ذٰلِكَ                 ['ð', 'a:', 'l', 'i', 'k', 'a']
حَسۡرَةً                ['ħ', 'a', 's', 'r', 'a', 't', 'a', 'Ikh1']
فِى                  ['f', 'i:']
قُلُوبِهِمۡ‌ۗ             ['q', 'u', 'l', 'u:', 'b', 'i', 'h', 'i', 'm']
وَٱللَّهُ               ['w', 'a', 'l', 'l', 'l', 'a', 'h', 'u']
يُحۡىِۦ                ['j', 'u', 'ħ', 'j', 'i:']
وَيُمِيتُ‌ۗ              ['w', 'a', 'j', 'u', 'm', 'i:', 't', 'u']
وَٱللَّهُ               ['w', 'a', 'l', 'l', 'l', 'a', 'h', 'u']
بِمَا                 ['b', 'i', 'm', 'a:']
تَعۡمَلُونَ              ['t', 'a', 'ʕ', 'm', 'a', 'l', 'u:', 'n', 'a']
بَصِيرٌ                ['b', 'a', 'sˤ', 'i:', 'r']

157
وَلَئِن                ['w', 'a', 'l', 'a', 'ʔ', 'i', 'Ikh2']
قُتِلۡتُمۡ               ['q', 'u', 't', 'i', 'l', 't', 'u', 'm']
فِى                  ['f', 'i:']
سَبِيلِ                ['s', 'a', 'b', 'i:', 'l', 'i']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
أَوۡ                  ['ʔ', 'a', 'w']
مُتُّمۡ                 ['m', 'u', 't', 't', 'u', 'm']
لَمَغۡفِرَةٌ              ['l', 'a', 'm', 'a', 'ɣ', 'f', 'i', 'r', 'a', 't', 'u']
مِّنَ                  ['m̰', 'i', 'n', 'a']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
وَرَحۡمَةٌ               ['w', 'a', 'r', 'a', 'ħ', 'm', 'a', 't', 'un']
خَيۡرٌ                 ['x', 'a', 'j', 'r', 'u']
مِّمَّا                 ['m̰', 'i', 'm̰', 'a:']
يَجۡمَعُونَ              ['j', 'a', 'ʒ', 'Q', 'm', 'a', 'ʕ', 'u:', 'n']

158
وَلَئِن                ['w', 'a', 'l', 'a', 'ʔ', 'i']
مُّتُّمۡ                 ['m̰', 'u', 't', 't', 'u', 'm']
أَوۡ                  ['ʔ', 'a', 'w']
قُتِلۡتُمۡ               ['q', 'u', 't', 'i', 'l', 't', 'u', 'm']
لَإِلَى                ['l', 'a', 'ʔ', 'i', 'l', 'a:']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
تُحۡشَرُونَ              ['t', 'u', 'ħ', 'ʃ', 'a', 'r', 'u:', 'n']

159
فَبِمَا                ['f', 'a', 'b', 'i', 'm', 'a:']
رَحۡمَةٍ                ['r', 'a', 'ħ', 'm', 'a', 't', 'i']
مِّنَ                  ['m̰', 'i', 'n', 'a']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
لِنتَ                 ['l', 'i', 'Ikh1', 't', 'a']
لَهُمۡ‌ۖ                ['l', 'a', 'h', 'u', 'm']
وَلَوۡ                 ['w', 'a', 'l', 'a', 'w']
كُنتَ                 ['k', 'u', 'Ikh1', 't', 'a']
فَظًّا                 ['f', 'a', 'ðˤ', 'ðˤ', 'an']
غَلِيظَ                ['ɣ', 'a', 'l', 'i:', 'ðˤ', 'a']
ٱلۡقَلۡبِ               ['l', 'q', 'a', 'l', 'b', 'i']
لَٱنفَضُّواۡ             ['l', 'a', 'Ikh1', 'f', 'a', 'dˤ', 'dˤ', 'u:']
مِنۡ                  ['m', 'i', 'n']
حَوۡلِكَ‌ۖ               ['ħ', 'a', 'w', 'l', 'i', 'k', 'a']
فَٱعۡفُ                ['f', 'a', 'ʕ', 'f', 'u']
عَنۡهُمۡ                ['ʕ', 'a', 'n', 'h', 'u', 'm']
وَٱسۡتَغۡفِرۡ             ['w', 'a', 's', 't', 'a', 'ɣ', 'f', 'i', 'r']
لَهُمۡ                 ['l', 'a', 'h', 'u', 'm']
وَشَاوِرۡهُمۡ             ['w', 'a', 'ʃ', 'a:', 'w', 'i', 'r', 'h', 'u', 'm']
فِى                  ['f', 'i:']
ٱلۡأَمۡرِ‌ۖ              ['l', 'ʔ', 'a', 'm', 'r', 'i']
فَإِذَا                ['f', 'a', 'ʔ', 'i', 'ð', 'a:']
عَزَمۡتَ                ['ʕ', 'a', 'z', 'a', 'm', 't', 'a']
فَتَوَكَّلۡ               ['f', 'a', 't', 'a', 'w', 'a', 'k', 'k', 'a', 'l']
عَلَى                 ['ʕ', 'a', 'l', 'a:']
ٱللَّهِ‌ۚ               ['l', 'l', 'l', 'a', 'h', 'i']
إِنَّ                  ['ʔ', 'i', 'n̰', 'a']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
يُحِبُّ                 ['j', 'u', 'ħ', 'i', 'b', 'b', 'u']
ٱلۡمُتَوَكِّلِينَ           ['l', 'm', 'u', 't', 'a', 'w', 'a', 'k', 'k', 'i', 'l', 'i:', 'n']

160
إِن                  ['ʔ', 'i']
يَنصُرۡكُمُ              ['j̰', 'a', 'Ikh2', 'sˤ', 'u', 'r', 'k', 'u', 'm', 'u']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
فَلَا                 ['f', 'a', 'l', 'a:']
غَالِبَ                ['ɣ', 'a:', 'l', 'i', 'b', 'a']
لَكُمۡ‌ۖ                ['l', 'a', 'k', 'u', 'm']
وَإِن                 ['w', 'a', 'ʔ', 'i']
يَخۡذُلۡكُمۡ              ['j̰', 'a', 'x', 'ð', 'u', 'l', 'k', 'u', 'm']
فَمَن                 ['f', 'a', 'm', 'a', 'Ikh1']
ذَا                  ['ð', 'a:']
ٱلَّذِى                ['l', 'l', 'a', 'ð', 'i:']
يَنصُرُكُم              ['j', 'a', 'Ikh2', 'sˤ', 'u', 'r', 'u', 'k', 'u', 'm̰']
مِّنۢ                  ['i', 'm̰']
بَعۡدِهِۦ‌ۗ              ['b', 'a', 'ʕ', 'd', 'i', 'h', 'i:']
وَعَلَى                ['w', 'a', 'ʕ', 'a', 'l', 'a:']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
فَلۡيَتَوَكَّلِ             ['f', 'a', 'l', 'j', 'a', 't', 'a', 'w', 'a', 'k', 'k', 'a', 'l', 'i']
ٱلۡمُؤۡمِنُونَ            ['l', 'm', 'u', 'ʔ', 'm', 'i', 'n', 'u:', 'n']

161
وَمَا                 ['w', 'a', 'm', 'a:']
كَانَ                 ['k', 'a:', 'n', 'a']
لِنَبِىٍّ                ['l', 'i', 'n', 'a', 'b', 'i', 'j', 'j', 'in']
أَن                  ['ʔ', 'a']
يَغُلَّ‌ۚ                ['j̰', 'a', 'ɣ', 'u', 'l', 'l', 'a']
وَمَن                 ['w', 'a', 'm', 'a']
يَغۡلُلۡ                ['j̰', 'a', 'ɣ', 'l', 'u', 'l']
يَأۡتِ                 ['j', 'a', 'ʔ', 't', 'i']
بِمَا                 ['b', 'i', 'm', 'a:']
غَلَّ                  ['ɣ', 'a', 'l', 'l', 'a']
يَوۡمَ                 ['j', 'a', 'w', 'm', 'a']
ٱلۡقِيَـٰمَةِ‌ۚ            ['l', 'q', 'i', 'j', 'a:', 'm', 'a', 't', 'i']
ثُمَّ                  ['θ', 'u', 'm̰', 'a']
تُوَفَّىٰ                ['t', 'u', 'w', 'a', 'f', 'f', 'a:']
كُلُّ                  ['k', 'u', 'l', 'l', 'u']
نَفۡسٍ                 ['n', 'a', 'f', 's', 'i']
مَّا                  ['m̰', 'a:']
كَسَبَتۡ                ['k', 'a', 's', 'a', 'b', 'a', 't']
وَهُمۡ                 ['w', 'a', 'h', 'u', 'm']
لَا                  ['l', 'a:']
يُظۡلَمُونَ              ['j', 'u', 'ðˤ', 'l', 'a', 'm', 'u:', 'n']

162
أَفَمَنِ                ['ʔ', 'a', 'f', 'a', 'm', 'a', 'n', 'i']
ٱتَّبَعَ                ['t', 't', 'a', 'b', 'a', 'ʕ', 'a']
رِضۡوٰنَ                ['r', 'i', 'dˤ', 'w', 'a:', 'n', 'a']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
كَمَنۢ                 ['k', 'a', 'm', 'a', 'm̰']
بَآءَ                 ['b', 'a:', 'ʔ', 'a']
بِسَخَطٍ                ['b', 'i', 's', 'a', 'x', 'a', 'tˤ', 'i']
مِّنَ                  ['m̰', 'i', 'n', 'a']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
وَمَأۡوَٮٰهُ              ['w', 'a', 'm', 'a', 'ʔ', 'w', 'a:', 'h', 'u']
جَهَنَّمُ‌ۚ               ['ʒ', 'a', 'h', 'a', 'n̰', 'a', 'm', 'u']
وَبِئۡسَ                ['w', 'a', 'b', 'i', 'ʔ', 's', 'a']
ٱلۡمَصِيرُ              ['l', 'm', 'a', 'sˤ', 'i:', 'r']

163
هُمۡ                  ['h', 'u', 'm']
دَرَجَـٰتٌ               ['d', 'a', 'r', 'a', 'ʒ', 'a:', 't', 'un']
عِندَ                 ['ʕ', 'i', 'Ikh1', 'd', 'a']
ٱللَّهِ‌ۗ               ['l', 'l', 'l', 'a', 'h', 'i']
وَٱللَّهُ               ['w', 'a', 'l', 'l', 'l', 'a', 'h', 'u']
بَصِيرُۢ                ['b', 'a', 'sˤ', 'i:', 'r', 'u', 'm̰']
